model_name,audio_file,transcript,latency_ms,audio_duration_s,confidence,raw_response,error
assemblyai,bellandur_noisy_hindi_10.wav,वैसे बेलंदूर में घर है। मेरा नाइट शिफ्ट भी मेरे लिए काम करेगा।,9801.544199988712,5.7,0.9603929,"{'id': '7238b9a8-7d05-4043-a4da-60a8137a9abc', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/318e1a69281aeb7919549d25e734eb92063bb109022bee35a1ec89754da7f16b/15ac1211-b2d8-4be6-b17e-b3e00cf069af', 'text': 'वैसे बेलंदूर में घर है। मेरा नाइट शिफ्ट भी मेरे लिए काम करेगा।', 'words': [{'text': 'वैसे', 'start': 1223, 'end': 1525, 'confidence': 0.99926406, 'speaker': None}, {'text': 'बेलंदूर', 'start': 1705, 'end': 2227, 'confidence': 0.97595, 'speaker': None}, {'text': 'में', 'start': 2307, 'end': 2408, 'confidence': 0.9144241, 'speaker': None}, {'text': 'घर', 'start': 2447, 'end': 2568, 'confidence': 0.9980252, 'speaker': None}, {'text': 'है।', 'start': 2648, 'end': 2709, 'confidence': 0.99022645, 'speaker': None}, {'text': 'मेरा', 'start': 2768, 'end': 2930, 'confidence': 0.9992117, 'speaker': None}, {'text':",
assemblyai,btm_layout_noisy_hindi_08.wav,बीटीएम लेआउट के पास बस से आ जाऊंगा।,9539.849599997979,5.34,0.9566315,"{'id': '4712ea44-ff22-4ec1-af3a-b4c34ac22be9', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/50b30a1d463855d3e31d4072253bb01f13c9abe2b2f0dbb1396627891a00f774/c326c4b3-9924-4689-862f-1a76189e10a5', 'text': 'बीटीएम लेआउट के पास बस से आ जाऊंगा।', 'words': [{'text': 'बीटीएम', 'start': 2487, 'end': 2749, 'confidence': 0.91100794, 'speaker': None}, {'text': 'लेआउट', 'start': 2808, 'end': 3010, 'confidence': 0.8025273, 'speaker': None}, {'text': 'के', 'start': 3069, 'end': 3110, 'confidence': 0.997626, 'speaker': None}, {'text': 'पास', 'start': 3189, 'end': 3311, 'confidence': 0.9907834, 'speaker': None}, {'text': 'बस', 'start': 4333, 'end': 4454, 'confidence': 0.99857396, 'speaker': None}, {'text': 'से', 'start': 4514, 'end': 4555, 'confidence': 0.9996395, 'speaker': None}, {'text': 'आ', 'start': 4614, 'end': 4",
assemblyai,byatarayanapura_quiet_hindi_11.wav,"मैं बेहद तारा नयापुरा में रहता हूँ, थोड़ा दूर पड़ता है।",11128.089699952397,8.46,0.9560611,"{'id': '595566b5-40f9-4097-932f-307eca53b240', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/caccede738c4e1116c1ecf883787bcdc24bc63037e3f928fed5c8f8627ea330a/18572099-5d71-4979-b808-dc2541288096', 'text': 'मैं बेहद तारा नयापुरा में रहता हूँ, थोड़ा दूर पड़ता है।', 'words': [{'text': 'मैं', 'start': 1340, 'end': 1500, 'confidence': 0.9672705, 'speaker': None}, {'text': 'बेहद', 'start': 2420, 'end': 2960, 'confidence': 0.9545616, 'speaker': None}, {'text': 'तारा', 'start': 3440, 'end': 3820, 'confidence': 0.9892346, 'speaker': None}, {'text': 'नयापुरा', 'start': 3980, 'end': 4680, 'confidence': 0.96067405, 'speaker': None}, {'text': 'में', 'start': 4860, 'end': 4980, 'confidence': 0.8542425, 'speaker': None}, {'text': 'रहता', 'start': 5160, 'end': 5440, 'confidence': 0.9991547, 'speaker': None}, {'text': 'हू",
assemblyai,doddanekundi_quiet_hindi_whispered_19.wav,गोदान कुर्दी में रहता हूँ। अभी धीरे बोल रहा हूँ।,9865.963299991563,5.88,0.97515446,"{'id': '876e0efc-ca29-4d87-84e5-287847c0cafb', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/d2e77abe2129961e664c00515e55e28f8ee2c09b8ec8c5a728f585ba05bec2d0/f2de70cd-9831-4089-8091-d594f789edc9', 'text': 'गोदान कुर्दी में रहता हूँ। अभी धीरे बोल रहा हूँ।', 'words': [{'text': 'गोदान', 'start': 1625, 'end': 2067, 'confidence': 0.92056674, 'speaker': None}, {'text': 'कुर्दी', 'start': 2247, 'end': 2488, 'confidence': 0.93502885, 'speaker': None}, {'text': 'में', 'start': 2828, 'end': 2930, 'confidence': 0.9608256, 'speaker': None}, {'text': 'रहता', 'start': 2989, 'end': 3291, 'confidence': 0.9678286, 'speaker': None}, {'text': 'हूँ।', 'start': 3370, 'end': 3451, 'confidence': 0.9938897, 'speaker': None}, {'text': 'अभी', 'start': 3811, 'end': 3993, 'confidence': 0.99981046, 'speaker': None}, {'text': 'धीरे', ",
assemblyai,electronic_city_quiet_hinglish_04.wav,ऐक्चवली मैं ना इलेक्ट्रॉनिक सिटी में लोकेटेड हूं फेज वन के पास।,10194.574900029693,6.54,0.9738527,"{'id': '924877b5-567f-4f21-825a-706bfc69a3c3', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/30343cb8cca2a9593e1afdf6dfc0b4bcac1989c04b1c645a3d4171bec271e1c7/bd31e371-1fff-48f4-8f27-7e42e239d505', 'text': 'ऐक्चवली मैं ना इलेक्ट्रॉनिक सिटी में लोकेटेड हूं फेज वन के पास।', 'words': [{'text': 'ऐक्चवली', 'start': 1580, 'end': 1940, 'confidence': 0.9379747, 'speaker': None}, {'text': 'मैं', 'start': 2040, 'end': 2180, 'confidence': 0.9036695, 'speaker': None}, {'text': 'ना', 'start': 2240, 'end': 2300, 'confidence': 0.921932, 'speaker': None}, {'text': 'इलेक्ट्रॉनिक', 'start': 2880, 'end': 3380, 'confidence': 0.99356765, 'speaker': None}, {'text': 'सिटी', 'start': 3460, 'end': 3640, 'confidence': 0.99951714, 'speaker': None}, {'text': 'में', 'start': 3720, 'end': 3780, 'confidence': 0.9959516, 'speaker': None}",
assemblyai,hebbal_quiet_hindi_rushed_17.wav,एपल में रहता हूँ। भाई जल्दी जॉब चाहिए।,9441.2372999941,4.74,0.9816142,"{'id': '5f238402-7f77-4086-8e50-35b7bcde3c88', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/51bfa83db7e7c76dd163af0123dd064438463a9f5dfccc9f261421f4bb104024/3dce59a4-b0ed-42c2-aa36-3b31aab8774a', 'text': 'एपल में रहता हूँ। भाई जल्दी जॉब चाहिए।', 'words': [{'text': 'एपल', 'start': 1344, 'end': 1746, 'confidence': 0.93931425, 'speaker': None}, {'text': 'में', 'start': 1825, 'end': 1906, 'confidence': 0.9915064, 'speaker': None}, {'text': 'रहता', 'start': 1966, 'end': 2247, 'confidence': 0.99187946, 'speaker': None}, {'text': 'हूँ।', 'start': 2307, 'end': 2388, 'confidence': 0.9980644, 'speaker': None}, {'text': 'भाई', 'start': 2487, 'end': 2669, 'confidence': 0.9997256, 'speaker': None}, {'text': 'जल्दी', 'start': 3109, 'end': 3371, 'confidence': 0.9798158, 'speaker': None}, {'text': 'जॉब', 'start': 3450, ",
assemblyai,hsr_layout_phone_hinglish_07.wav,हाँ हाँ मेरा लोकेशन एचएसआर लेआउट है इंटरव्यू ऑनलाइन हो सकता है क्या।,10445.737900037784,6.48,0.9668679,"{'id': 'af0ae3d5-75f2-414d-b9a2-e9ab7a9886b8', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/6f51ceaffe867927fa0e2bc56f3692fa7cc78c5f40b8941b1b777042cfed95a8/cf4b75ab-8302-4ee5-8e06-a96019dcd495', 'text': 'हाँ हाँ मेरा लोकेशन एचएसआर लेआउट है इंटरव्यू ऑनलाइन हो सकता है क्या।', 'words': [{'text': 'हाँ', 'start': 1320, 'end': 1420, 'confidence': 0.9642531, 'speaker': None}, {'text': 'हाँ', 'start': 1560, 'end': 1680, 'confidence': 0.9671337, 'speaker': None}, {'text': 'मेरा', 'start': 2280, 'end': 2460, 'confidence': 0.9995909, 'speaker': None}, {'text': 'लोकेशन', 'start': 2540, 'end': 2920, 'confidence': 0.99959695, 'speaker': None}, {'text': 'एचएसआर', 'start': 3000, 'end': 3360, 'confidence': 0.86183536, 'speaker': None}, {'text': 'लेआउट', 'start': 3400, 'end': 3660, 'confidence': 0.9495397, 'speaker': Non",
assemblyai,indiranagar_quiet_hinglish_02.wav,"मेरा एरिया इंदिरानगर है, मेट्रो के पास ही रहता हूँ।",9282.030600006692,4.92,0.9887349,"{'id': 'd433b192-0350-43f4-99a6-dc6d72de0cd2', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/6a846135061eda704d06ce20e53e7033beff65a247b5b039d2c7f7cdb6e045bc/0759c1a2-8c89-44af-989d-650292736626', 'text': 'मेरा एरिया इंदिरानगर है, मेट्रो के पास ही रहता हूँ।', 'words': [{'text': 'मेरा', 'start': 1103, 'end': 1325, 'confidence': 0.9974447, 'speaker': None}, {'text': 'एरिया', 'start': 1404, 'end': 1626, 'confidence': 0.99878526, 'speaker': None}, {'text': 'इंदिरानगर', 'start': 1705, 'end': 2187, 'confidence': 0.96734834, 'speaker': None}, {'text': 'है,', 'start': 2247, 'end': 2308, 'confidence': 0.9898452, 'speaker': None}, {'text': 'मेट्रो', 'start': 3049, 'end': 3331, 'confidence': 0.9946809, 'speaker': None}, {'text': 'के', 'start': 3390, 'end': 3451, 'confidence': 0.9999768, 'speaker': None}, {'text': 'प",
assemblyai,jayanagar_quiet_hindi_06.wav,"हेलो अरे भाई, मैं ना जयनगर रहता हूँ। मॉर्निंग शिफ्ट चलेगा।",10265.943100035656,7.02,0.97794104,"{'id': '84679906-960c-49ad-9590-ff50c302c9d9', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/540d5b10e6f3b671239373403334dddabcebfd64db1eca4d3489e772850431da/6af2ae85-1b00-4e34-a652-146240960200', 'text': 'हेलो अरे भाई, मैं ना जयनगर रहता हूँ। मॉर्निंग शिफ्ट चलेगा।', 'words': [{'text': 'हेलो', 'start': 1400, 'end': 1620, 'confidence': 0.9990334, 'speaker': None}, {'text': 'अरे', 'start': 2520, 'end': 2660, 'confidence': 0.99880064, 'speaker': None}, {'text': 'भाई,', 'start': 2720, 'end': 2820, 'confidence': 0.8956901, 'speaker': None}, {'text': 'मैं', 'start': 2940, 'end': 3080, 'confidence': 0.9242698, 'speaker': None}, {'text': 'ना', 'start': 3180, 'end': 3260, 'confidence': 0.9658327, 'speaker': None}, {'text': 'जयनगर', 'start': 3560, 'end': 3980, 'confidence': 0.9997248, 'speaker': None}, {'text': 'रहत",
assemblyai,kadugondanahalli_noisy_hinglish_12.wav,का्डुवोर्डनलीसाइड मेरा घूमा लोकेशन थोड़ा कंक्लूजिंग।,25962.74089999497,6.54,0.9711867,"{'id': '682a4db0-18a2-48e0-b8bc-b865c134426f', 'language_model': 'assemblyai_default', 'acoustic_model': 'assemblyai_default', 'language_code': 'hi', 'speech_understanding': None, 'translated_texts': None, 'status': 'completed', 'audio_url': 'https://cdn.assemblyai.com/upload/399a1181bd9d55b58dfc90d252f0b1bdc13e531c3a2aee81af6ea2cdefd91c34/15c3d5e1-921e-4f72-8968-da3f400f9012', 'text': 'का्डुवोर्डनलीसाइड मेरा घूमा लोकेशन थोड़ा कंक्लूजिंग।', 'words': [{'text': 'का्डुवोर्डनलीसाइड', 'start': 1180, 'end': 2920, 'confidence': 0.9315639, 'speaker': None}, {'text': 'मेरा', 'start': 3000, 'end': 3180, 'confidence': 0.9899098, 'speaker': None}, {'text': 'घूमा', 'start': 3300, 'end': 3580, 'confidence': 0.95712566, 'speaker': None}, {'text': 'लोकेशन', 'start': 4100, 'end': 4560, 'confidence': 0.9998999, 'speaker': None}, {'text': 'थोड़ा', 'start': 4640, 'end': 4840, 'confidence': 0.9987238, 'speaker': None}, {'text': 'कंक्लूजिंग।', 'start': 4940, 'end': 5460, 'confidence': 0.9498971, 'speaker': ",
