model_name,audio_file,reference,hypothesis,locality,wer,cer,locality_correct,fuzzy_locality_match,partial_locality_match,predicted_locality,locality_match_confidence,locality_match_text,locality_correct_after_correction,needs_review,latency_ms,audio_duration_s,rtf,condition,language,style,difficulty,error
deepgram,bellandur_noisy_hindi_10.wav,"Bellandur mein ghar hai mera, night shift bhi chalega.",वैसे बेलन दूर में घर है मेरा night shift भी मेरे लिए काम करेगा.,Bellandur,1.2222222222222223,0.6590909090909091,False,False,False,Bellandur,0.9091,belana doora,True,False,4750.736300018616,5.7,0.8334625087751958,noisy,hindi,normal,medium,
deepgram,btm_layout_noisy_hindi_08.wav,"BTM Layout ke paas rehta hoon, bus se aa jaunga.",Paytm भैया उठ के पास है bus से आ जाऊंगा.,BTM Layout,0.7,0.5675675675675675,False,False,False,Jayanagar,0.75,jaaoongaa,False,True,4196.7341999989,5.34,0.7859052808986705,noisy,hindi,normal,medium,
deepgram,byatarayanapura_quiet_hindi_11.wav,"Main Byatarayanapura mein rehta hoon, thoda door padta hai.",मैं प्यार तराने पूरा में रहता हूं थोड़ा दूर पड़ता है.,Byatarayanapura,0.8888888888888888,0.3673469387755102,False,False,False,Byatarayanapura,0.7692,taraane pooraa,True,True,5249.115099955816,8.46,0.620462777772555,quiet,hindi,normal,hard,
deepgram,doddanekundi_quiet_hindi_whispered_19.wav,"Doddanekundi mein rehta hoon, abhi dheere bol raha hoon.","मैं रहता हूं, अभी धीरे बोल रहा हूं.",Doddanekundi,0.6666666666666666,0.43478260869565216,False,False,False,Hebbal,0.6667,bola,False,True,6662.532200047281,5.88,1.133083707491034,quiet,hindi,whispered,hard,
deepgram,electronic_city_quiet_hinglish_04.wav,"Actually main Electronic City mein hoon, phase one ke aas paas.","Actually, मैं ना electronic city में located हूं, phase one के पास.",Electronic City,0.45454545454545453,0.29411764705882354,True,True,True,Electronic City,1.0,electronic city,True,False,5033.466599998064,6.54,0.7696432110088783,quiet,hinglish,normal,medium,
deepgram,hebbal_quiet_hindi_rushed_17.wav,"Hebbal mein rehta hoon bhai, jaldi job chahiye.","Apple में रहता हूं भाई, जल्दी चौक चाहिए.",Hebbal,0.875,0.6052631578947368,False,False,False,Marathahalli,0.5714,men rahataa hoon,False,True,3832.669799972791,4.74,0.8085801265765382,quiet,hindi,rushed,easy,
deepgram,hsr_layout_phone_hinglish_07.wav,"Mera location HSR Layout hai, interview online ho sakta hai kya?",हां हां. मेरा location HSR layout है. Interview online हो सकता है क्या?,HSR Layout,0.45454545454545453,0.23076923076923078,True,True,True,HSR Layout,1.0,hsr layout,True,False,4646.8600000371225,6.48,0.7171080246970868,phone,hinglish,normal,medium,
deepgram,indiranagar_quiet_hinglish_02.wav,"Mera area Indiranagar hai, metro ke paas hi rehta hoon.",मेरा area इंदिरा नगर. Metro के पास ही रहता हूं.,Indiranagar,0.6,0.22727272727272727,True,False,False,Indiranagar,1.0,indiraa nagara,True,False,3578.689399990253,4.92,0.727375894306962,quiet,hinglish,normal,easy,
deepgram,jayanagar_quiet_hindi_06.wav,"Main Jayanagar mein rehta hoon, morning shift chalega.",Hello. अरे भाई मैं ना जयनगर रहता हूं. Morning shift चलेगा?,Jayanagar,0.875,0.5555555555555556,True,True,False,Jayanagar,1.0,jayanagar,True,False,5727.077600022312,7.02,0.8158230199461983,quiet,hindi,normal,easy,
deepgram,kadugondanahalli_noisy_hinglish_12.wav,"Kadugondanahalli side mera room hai, location thoda confusing hai.",काडु कोडुन अली side मेरा room है location थोड़ा confusing.,Kadugondanahalli,0.6666666666666666,0.23214285714285715,False,False,False,Kadugondanahalli,0.6667,kaadu koduna alee,True,True,5613.911400025245,6.54,0.8583962385359701,noisy,hinglish,normal,hard,
