model_name,audio_file,transcript,latency_ms,audio_duration_s,confidence,raw_response,error
deepgram,bellandur_noisy_hindi_10.wav,वैसे बेलन दूर में घर है मेरा night shift भी मेरे लिए काम करेगा.,4750.736300018616,5.7,0.99609375,,
deepgram,btm_layout_noisy_hindi_08.wav,Paytm भैया उठ के पास है bus से आ जाऊंगा.,4196.7341999989,5.34,0.8378906,,
deepgram,byatarayanapura_quiet_hindi_11.wav,मैं प्यार तराने पूरा में रहता हूं थोड़ा दूर पड़ता है.,5249.115099955816,8.46,0.8496094,,
deepgram,doddanekundi_quiet_hindi_whispered_19.wav,"मैं रहता हूं, अभी धीरे बोल रहा हूं.",6662.532200047281,5.88,0.99316406,,
deepgram,electronic_city_quiet_hinglish_04.wav,"Actually, मैं ना electronic city में located हूं, phase one के पास.",5033.466599998064,6.54,0.9970703,,
deepgram,hebbal_quiet_hindi_rushed_17.wav,"Apple में रहता हूं भाई, जल्दी चौक चाहिए.",3832.669799972791,4.74,0.9291992,,
deepgram,hsr_layout_phone_hinglish_07.wav,हां हां. मेरा location HSR layout है. Interview online हो सकता है क्या?,4646.8600000371225,6.48,0.9980469,,
deepgram,indiranagar_quiet_hinglish_02.wav,मेरा area इंदिरा नगर. Metro के पास ही रहता हूं.,3578.689399990253,4.92,0.9980469,,
deepgram,jayanagar_quiet_hindi_06.wav,Hello. अरे भाई मैं ना जयनगर रहता हूं. Morning shift चलेगा?,5727.077600022312,7.02,0.875,,
deepgram,kadugondanahalli_noisy_hinglish_12.wav,काडु कोडुन अली side मेरा room है location थोड़ा confusing.,5613.911400025245,6.54,0.9160156,,
deepgram,kengeri_upanagara_quiet_hindi_15.wav,केंगड़ी तूफानागरा में घर है. मैं कल आ सकता हूं.,4641.948900010902,6.42,0.984375,,
deepgram,koramangala_quiet_hindi_01.wav,"हां भाई मैं core बंगला में रहता हूं, काम पास में चाहिए.",4541.866900050081,5.7,0.99121094,,
deepgram,kothanur_dinne_noisy_hinglish_14.wav,मेरा area कोठंगुर जिले है nearby opening हो तो बताओ.,3869.0606000018306,5.82,0.98291016,,
deepgram,marathahalli_noisy_hindi_05.wav,"हां, माराथली से call कर रहा हूं. Job nearby मिले तो अच्छा.",5006.278399960138,6.36,0.9404297,,
deepgram,rajarajeshwarinagar_quiet_hindi_13.wav,राजा राजेश्वरी नगर में रहता हूं. वहां से commute करने का.,4313.133299991023,5.4,0.9863281,,
deepgram,silk_board_quiet_hinglish_09.wav,Hello. I stay in a silk road. Traffic की वजह से late हो सकता हूं थोड़ा.,5978.678800049238,8.1,0.99121094,,
deepgram,thalaghattapura_noisy_hinglish_16.wav,"I am from ठाघट्टा पूरा, bus route check करना पड़ेगा.",4664.821900019888,5.58,0.9970703,,
deepgram,thanisandra_phone_hinglish_20.wav,ठाणे संतरा is my area phone पर network थोड़ा weak है.,4272.605200007092,5.52,0.984375,,
deepgram,whitefield_noisy_hindi_03.wav,मैं white field site रहता हूं. Daily travel both होता है.,5866.641800035723,5.94,0.9863281,,
deepgram,yelahanka_quiet_hinglish_rushed_18.wav,का side stay करता हूं immediately join कर सकता हूं.,4251.046499994118,6.06,0.9951172,,
assemblyai,bellandur_noisy_hindi_10.wav,वैसे बेलंदूर में घर है। मेरा नाइट शिफ्ट भी मेरे लिए काम करेगा।,9801.544199988712,5.7,0.9603929,,
assemblyai,btm_layout_noisy_hindi_08.wav,बीटीएम लेआउट के पास बस से आ जाऊंगा।,9539.849599997979,5.34,0.9566315,,
assemblyai,byatarayanapura_quiet_hindi_11.wav,"मैं बेहद तारा नयापुरा में रहता हूँ, थोड़ा दूर पड़ता है।",11128.089699952397,8.46,0.9560611,,
assemblyai,doddanekundi_quiet_hindi_whispered_19.wav,गोदान कुर्दी में रहता हूँ। अभी धीरे बोल रहा हूँ।,9865.963299991563,5.88,0.97515446,,
assemblyai,electronic_city_quiet_hinglish_04.wav,ऐक्चवली मैं ना इलेक्ट्रॉनिक सिटी में लोकेटेड हूं फेज वन के पास।,10194.574900029693,6.54,0.9738527,,
assemblyai,hebbal_quiet_hindi_rushed_17.wav,एपल में रहता हूँ। भाई जल्दी जॉब चाहिए।,9441.2372999941,4.74,0.9816142,,
assemblyai,hsr_layout_phone_hinglish_07.wav,हाँ हाँ मेरा लोकेशन एचएसआर लेआउट है इंटरव्यू ऑनलाइन हो सकता है क्या।,10445.737900037784,6.48,0.9668679,,
assemblyai,indiranagar_quiet_hinglish_02.wav,"मेरा एरिया इंदिरानगर है, मेट्रो के पास ही रहता हूँ।",9282.030600006692,4.92,0.9887349,,
assemblyai,jayanagar_quiet_hindi_06.wav,"हेलो अरे भाई, मैं ना जयनगर रहता हूँ। मॉर्निंग शिफ्ट चलेगा।",10265.943100035656,7.02,0.97794104,,
assemblyai,kadugondanahalli_noisy_hinglish_12.wav,का्डुवोर्डनलीसाइड मेरा घूमा लोकेशन थोड़ा कंक्लूजिंग।,25962.74089999497,6.54,0.9711867,,
assemblyai,kengeri_upanagara_quiet_hindi_15.wav,"केंगेरी उफान गया में घर है, मैं कल आ सकता हूँ?",22044.348100025672,6.42,0.98197424,,
assemblyai,koramangala_quiet_hindi_01.wav,"हाँ, भाई, मैं कोर बंगला में रहता हूँ, काम पास में चाहिए।",9785.675499995705,5.7,0.97630894,,
assemblyai,kothanur_dinne_noisy_hinglish_14.wav,"मेरा एरिया कोठनूर्दिने है नियर बाई, ओपनिंग हो तो बताओ।",10294.771899993066,5.82,0.973265,,
assemblyai,marathahalli_noisy_hindi_05.wav,हाँ माराथली से गोल कर रहा हूँ। जॉब नेयरबायमिले तो अच्छा है।,18187.25340004312,6.36,0.9451235,,
assemblyai,rajarajeshwarinagar_quiet_hindi_13.wav,राजा राजेश्वरी नगर में रहता हूँ। वहाँ से कमजोर कर लूंगा।,17499.69670001883,5.4,0.97650087,,
assemblyai,silk_board_quiet_hinglish_09.wav,"हेलो स्टेन सिल्क, रोड ट्रैफिक की वजह से लेट हो सकता हूँ थोड़ा।",10700.854700000491,8.1,0.95386887,,
assemblyai,thalaghattapura_noisy_hinglish_16.wav,आई एम फ्रॉम थाला घट्टा पूरा बस रूट चेक करना पड़ेगा।,9558.64509998355,5.58,0.98110217,,
assemblyai,thanisandra_phone_hinglish_20.wav,थानी। संत्रा इज माई एरिया फोन पर नेटवर्क थोड़ा वीक है।,9605.50449998118,5.52,0.96240467,,
assemblyai,whitefield_noisy_hindi_03.wav,मैं वाइटफील्ड साइड रहता हूँ। रेली ट्रैवल बहुत होता है।,9911.026399990078,5.94,0.9884067,,
assemblyai,yelahanka_quiet_hinglish_rushed_18.wav,"येल्ला हंग का साइड स्टे करता हूं, इमिजेटली ज्वाइन कर सकता हूँ।",9754.825400013942,6.06,0.9699349,,
